역명,위도,경도
서울,37.55473,126.9708
용산,37.52991,126.9648
수색,37.5806,126.8959
행신,37.3645,126.4952
도라산,37.89877,126.7098
신망리,38.132142,127.078131
대광리,38.184937,127.108498
신탄리,38.212687,127.138965
백마고지,38.25763,127.166169
청량리,37.580543,127.047259
지평,37.4765,127.6297
석불,37.4602,127.655
일신,37.44539,127.6886
매곡,37.436095,127.730439
양동,37.421914,127.753314
삼산,37.392299,127.779846
서원주,37.349082,127.839965
원주,37.315989,127.921874
광명,37.416196,126.884818
영등포,37.5161179,126.9069418
수원,37.26608,126.999231
평택,36.995815,127.082538
